what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.sse.core,1.1.401.v200909172215,"org.eclipse.wst.sse.core",1299495186062
started,bundle,org.springframework.ide.eclipse.webflow.core,2.2.0.me201003052220,"org.springframework.ide.eclipse.webflow.core",1299495186093
started,bundle,org.eclipse.ltk.core.refactoring,3.5.0.v20090513-2000,"org.eclipse.ltk.core.refactoring",1299495186140
started,bundle,org.eclipse.ltk.ui.refactoring,3.4.100.v20090604,"org.eclipse.ltk.ui.refactoring",1299495186140
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1299495187390
started,bundle,org.eclipse.equinox.p2.ui,1.0.101.R35x_v20090819,"org.eclipse.equinox.p2.ui",1299495206296
started,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.ui.sdk",1299495206296
started,bundle,org.eclipse.equinox.p2.metadata,1.0.100.v20090525,"org.eclipse.equinox.p2.metadata",1299495206375
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1299495208437
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1299495213078
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.ui.sdk.install",1299495213093
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1299495217609
started,bundle,org.eclipse.equinox.p2.extensionlocation,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.extensionlocation",1299495225375
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1299495245281
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.ui.sdk.install",1299495245312
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.1.v200908111817,"org.eclipse.jst.common.project.facet.core",1299495247515
started,bundle,org.eclipse.wst.jsdt.core,1.0.201.v200908101420,"org.eclipse.wst.jsdt.core",1299495248687
started,bundle,org.eclipse.wst.jsdt.web.core,1.0.200.v200905120445,"org.eclipse.wst.jsdt.web.core",1299495248703
started,bundle,com.genuitec.eclipse.jsf,8.5.0.me201003231033,"com.genuitec.eclipse.jsf",1299495248734
started,bundle,com.genuitec.eclipse.blue.project,8.5.0.me201003232017,"com.genuitec.eclipse.blue.project",1299495248765
started,bundle,org.eclipse.wst.ws.service.policy,1.0.103.v200905151848,"org.eclipse.wst.ws.service.policy",1299495248796
started,bundle,org.eclipse.wst.command.env,1.0.408.v200903110045,"org.eclipse.wst.command.env",1299495248812
started,bundle,org.eclipse.wst.ws,1.1.103.v200903111822,"org.eclipse.wst.ws",1299495248812
started,bundle,org.eclipse.wst.common.emf,1.1.301.v200908181930,"org.eclipse.wst.common.emf",1299495249453
started,bundle,org.eclipse.jst.j2ee.core,1.1.301.v200908181930,"org.eclipse.jst.j2ee.core",1299495249468
